x,y,z
-1.84529662,-31.03250122,2.64280462
-3.09612274,-30.61123657,2.62691021
-4.03939772,-30.24245834,2.61157417
-5.03922272,-29.80820847,2.57530570
-6.29536390,-29.27620888,2.54976606
-7.23285437,-28.91927910,2.53809476
-8.17730522,-28.55845451,2.51334524
-9.32492924,-28.10468483,2.49455047
-10.38078308,-27.65982628,2.49514151
-11.40519714,-27.23038292,2.45957661
-12.42252064,-26.78947449,2.45788217
-13.37153721,-26.40933037,2.44515991
-14.31731415,-26.02627563,2.42481852
-15.23560810,-25.62816620,2.40858221
-16.18457985,-25.25676918,2.40900755
-17.12775230,-24.88741684,2.39450908
-18.07324600,-24.53140450,2.38117766
-19.06547356,-24.13312531,2.36365604
-20.08378983,-23.72918701,2.36149025
-21.09190369,-23.34476662,2.36528134
-22.09403419,-22.94871712,2.35235047
-23.12225533,-22.54707718,2.32562280
-24.11159706,-22.16996193,2.33126545
-25.14022255,-21.78964615,2.32412958
-26.16734886,-21.42488861,2.29766440
-27.15276146,-21.05315399,2.27862787
-28.18720818,-20.67412758,2.27721047
-29.13825226,-20.29474831,2.27891254
-30.07683372,-19.93289566,2.27816844
-31.27201080,-19.40240860,2.23452330
-31.86013412,-19.02833748,2.16386199
-32.71986008,-18.30471611,1.94567895
-33.47315979,-17.50257874,1.85848248
-33.98804092,-16.78293610,1.84212565
-34.12036133,-16.48197174,1.81547487
-34.22885895,-16.15801048,1.82723737
-34.20654297,-15.54647636,1.78075302
-33.99834442,-14.83550930,1.72994673
-33.40389633,-13.98856163,1.66024148
-32.71497726,-13.16259480,1.59412682
-31.90954590,-12.40159130,1.52312505
-31.00652885,-11.74170303,1.48331976
-30.49359703,-11.49969387,1.46064103
-29.86466408,-11.33373928,1.41095221
-28.74257278,-11.26449680,1.34155452
-27.69136620,-11.22233868,1.26836991
-26.71291161,-11.06716156,1.22935796
-25.67887688,-10.61264133,1.16724610
-24.42461586,-10.08080959,1.11160505
-23.43342209,-9.77493382,1.05685544
-22.44690895,-9.37194157,0.99127227
-21.36487579,-8.85053825,0.95045942
-20.28439331,-8.31648922,0.87777746
-19.21071053,-7.79665709,0.83394486
-18.20991325,-7.19235086,0.79043478
-17.16183090,-6.56511641,0.74044597
-16.11171341,-5.95736217,0.69567549
-15.25555038,-5.41595125,0.65160429
-14.38338280,-4.85520983,0.60776973
-13.48083878,-4.31000280,0.58966726
-12.51370239,-3.74752545,0.52539510
-11.53835678,-3.17616105,0.49431330
-10.55684566,-2.64709949,0.42971742
-9.53991413,-2.11398602,0.39281228
-8.53977680,-1.60635233,0.34402424
-7.58826637,-1.13181067,0.29805917
-6.57540035,-0.66334575,0.26148400
-5.48214340,-0.26971239,0.22195387
-4.40586567,0.00406392,0.18538795
-3.30326247,0.17443389,0.15200594
-2.24654984,0.14776482,0.08813182
-1.12976336,-0.04826168,0.05416790
-0.26818883,-0.34982842,0.01060010
